vendacodigo,vendadata,clientecodigo,vendavalor
115,03/03/2018,77,4617.15
116,08/03/2018,22,5491.77
117,03/03/2018,3,4122.54
118,30/03/2018,12,2917.71
119,15/03/2018,13,1969.61
120,06/03/2018,20,
121,10/03/2018,68,7235.19
122,15/03/2018,24,4544.6
123,05/03/2018,86,806.38
124,17/03/2018,22,5204.98
125,05/03/2018,21,9758.51
126,07/03/2018,84,3479.9
127,17/03/2018,62,9879.87
128,03/03/2018,86,4883.81
129,01/03/2018,24,1281.73
130,01/03/2018,28,9563.68
131,12/03/2018,20,4550.73
132,04/03/2018,5,6120.34
133,21/03/2018,39,
134,25/03/2018,46,9085.04
135,16/03/2018,15,6662.65
136,03/03/2018,56,1834.22
137,06/03/2018,31,5787.7
138,15/03/2018,61,1983.78
139,19/03/2018,11,7077.53
140,26/03/2018,61,3647.4
141,30/03/2018,4,3736.7
142,08/03/2018,6,6650.65
143,02/03/2018,10,3227.33
144,10/03/2018,82,887.66
145,08/03/2018,93,741.97
146,05/03/2018,99,6551.46
147,27/03/2018,46,8946.33
148,04/03/2018,56,3563.47
149,05/03/2018,41,4779.13
150,20/03/2018,34,7436.49
151,12/03/2018,31,7720.66
152,21/03/2018,38,1435.32
153,11/03/2018,96,978.25
154,08/03/2018,13,4241.64
155,13/03/2018,48,3088.3
156,12/03/2018,81,8922.23
157,16/03/2018,46,5077.1
158,20/03/2018,52,3077.56
159,08/03/2018,14,1864.34
160,14/03/2018,88,1285.63
161,26/03/2018,30,3598.66
162,02/03/2018,21,7800.92
163,30/03/2018,52,334.98
164,10/03/2018,19,8769.17
165,06/03/2018,91,2428.94
166,29/03/2018,62,2050.14
167,03/03/2018,30,5877.77
168,22/03/2018,48,7923.78
169,28/03/2018,85,7198.37
170,22/03/2018,29,5416.09
171,09/03/2018,5,4930.05
172,27/03/2018,33,1762.29
173,09/03/2018,33,1263.76
174,01/03/2018,76,4187.86
175,20/03/2018,23,6553.46
176,13/03/2018,11,4914.33
177,21/03/2018,42,6287.42
178,14/03/2018,27,3357.05
179,08/03/2018,29,7069.25
180,27/03/2018,54,4716.28
181,27/03/2018,40,5201.53
182,29/03/2018,92,3037.94
183,08/03/2018,2,4190.17
184,18/03/2018,40,6327.17
185,13/03/2018,70,3926.61
186,19/03/2018,3,9593.78
187,20/03/2018,82,8749.07
188,07/03/2018,33,4723.92
189,25/03/2018,61,5277.56
190,18/03/2018,61,4077.96
191,20/03/2018,82,3557.07
192,05/03/2018,44,1510.6
193,24/03/2018,69,979.93
194,06/03/2018,41,3740.75
195,20/03/2018,95,1344.59
196,22/03/2018,81,9159.2
197,29/03/2018,61,8414.71
198,29/03/2018,13,9479.42
199,08/03/2018,96,236.53
200,30/03/2018,30,9234.2
201,25/03/2018,18,7075.06
202,06/03/2018,96,5791.14
203,28/03/2018,28,1674.51
204,21/03/2018,44,3930.02
205,25/03/2018,8,1941.73
206,18/03/2018,41,
207,13/03/2018,54,553.83
208,16/03/2018,66,2173.64
209,28/03/2018,81,5699.99
210,03/03/2018,12,925.06
211,12/03/2018,58,5676.53
212,20/03/2018,49,867.68
213,16/03/2018,74,6011.65
214,07/03/2018,67,3525.83
215,06/03/2018,41,5013.92
216,14/03/2018,30,2364.5
217,16/03/2018,56,9939.3
218,05/03/2018,10,5650.2
219,13/03/2018,10,7193.66
220,18/03/2018,40,2949.67
221,30/03/2018,80,737.74
222,21/03/2018,22,3263.65
223,08/03/2018,65,7346.82
224,27/03/2018,19,7142.28
225,03/03/2018,90,2377.75
226,25/03/2018,83,4941.83
227,20/03/2018,76,
228,07/03/2018,56,5476.21
229,26/03/2018,20,2523.03
230,08/03/2018,57,1574.14
231,26/03/2018,86,6356.27
232,20/03/2018,77,2773.53
233,17/03/2018,37,1219.77
234,29/03/2018,79,4890.71
235,19/03/2018,91,5385.54
236,18/03/2018,92,4999.51
237,14/03/2018,49,4429.82
238,22/03/2018,41,5275.0
239,25/03/2018,10,6558.45
240,07/03/2018,80,8822.98
241,30/03/2018,72,3480.25
242,13/03/2018,58,5176.74
243,24/03/2018,67,2626.61
244,07/03/2018,48,877.89
245,09/03/2018,36,6715.9
246,28/03/2018,10,5890.81
247,08/03/2018,33,
248,24/03/2018,92,7913.7
249,10/03/2018,29,
250,07/03/2018,5,9370.52
251,30/03/2018,19,1482.44
252,06/03/2018,27,4690.03
253,19/03/2018,62,8742.29
254,01/03/2018,44,7440.24
255,18/03/2018,77,4034.71
256,20/03/2018,71,5707.81
257,10/03/2018,82,6032.53
258,12/03/2018,1,9494.33
259,11/03/2018,45,9887.16
260,27/03/2018,48,6077.7
261,06/03/2018,82,7005.19
262,28/03/2018,76,4676.77
263,25/03/2018,62,110.89
264,12/03/2018,28,8846.97
265,03/03/2018,56,1350.52
266,12/03/2018,60,8315.7
267,30/03/2018,24,3675.57
268,27/03/2018,71,9867.82
269,10/03/2018,19,2477.12
270,27/03/2018,74,4932.97
271,12/03/2018,99,7176.32
272,08/03/2018,33,6992.68
273,20/03/2018,77,4662.62
274,24/03/2018,9,262.28
275,16/03/2018,29,4442.94
276,20/03/2018,30,2372.93
277,02/03/2018,99,5741.2
278,19/03/2018,14,5075.18
279,15/03/2018,41,5154.57
280,24/03/2018,50,3323.84
281,19/03/2018,94,2234.65
282,07/03/2018,23,6159.73
283,25/03/2018,68,9976.1
284,30/03/2018,99,7076.86
285,17/03/2018,70,8897.77
286,21/03/2018,59,8657.34
287,04/03/2018,91,217.87
288,18/03/2018,27,
289,10/03/2018,65,2660.62
290,30/03/2018,56,9908.35
291,28/03/2018,92,3620.43
292,17/03/2018,17,7996.19
293,03/03/2018,47,2834.68
294,05/03/2018,43,5717.93
295,14/03/2018,17,3047.35
296,09/03/2018,32,6027.75
297,09/03/2018,11,3897.37
298,07/03/2018,39,8236.33
299,29/03/2018,21,9304.2
300,23/03/2018,61,7909.67
301,16/03/2018,49,8563.82
302,15/03/2018,49,1266.95
303,19/03/2018,9,3497.7
304,12/03/2018,44,2454.3
305,22/03/2018,90,4614.78
306,24/03/2018,86,9900.32
307,24/03/2018,93,8694.18
308,14/03/2018,86,7024.9
309,21/03/2018,53,1654.96
310,26/03/2018,18,9443.08
311,30/03/2018,53,6292.06
312,10/03/2018,40,2861.47
313,10/03/2018,14,5954.56
314,16/03/2018,3,2580.33
315,11/03/2018,9,6631.08
316,07/03/2018,60,6508.5
317,03/03/2018,33,1426.66
318,21/03/2018,13,7481.78
319,24/03/2018,41,9115.72
320,17/03/2018,46,
321,17/03/2018,67,3407.07
322,09/03/2018,21,5636.93
323,01/03/2018,36,2288.45
324,16/03/2018,11,7690.5
325,18/03/2018,80,1225.54
326,10/03/2018,7,1528.97
327,14/03/2018,91,9848.94
328,27/03/2018,95,3406.7
329,14/03/2018,87,4391.92
330,07/03/2018,38,7351.32
331,12/03/2018,12,136.39
332,19/03/2018,84,9004.54
333,28/03/2018,98,1268.19
334,05/03/2018,49,1348.4
335,11/03/2018,45,6406.85
336,22/03/2018,35,245.18
337,29/03/2018,27,6386.04
338,23/03/2018,57,7989.73
339,28/03/2018,38,1077.65
340,18/03/2018,61,4161.42
341,27/03/2018,43,2362.91
342,16/03/2018,21,7528.12
343,22/03/2018,38,6560.31
344,19/03/2018,78,2252.97
345,29/03/2018,50,9972.45
346,25/03/2018,59,958.8
347,30/03/2018,99,760.32
348,08/03/2018,11,9135.42
349,10/03/2018,3,6576.12
350,25/03/2018,36,9405.28
351,10/03/2018,74,4114.34
352,07/03/2018,11,7726.86
353,23/03/2018,28,1157.42
354,14/03/2018,47,8577.2
355,19/03/2018,20,6385.09
356,03/03/2018,73,9614.44
357,10/03/2018,58,5324.34
358,24/03/2018,61,3921.93
359,26/03/2018,99,8391.12
360,07/03/2018,88,8881.01
361,16/03/2018,57,7707.59
362,20/03/2018,22,5954.71
363,05/03/2018,1,6806.38
364,03/03/2018,45,2168.08
365,27/03/2018,53,6143.34
366,02/03/2018,70,6395.37
367,21/03/2018,4,6104.72
368,03/03/2018,100,6315.04
369,28/03/2018,56,2301.73
370,20/03/2018,1,9354.21
371,24/03/2018,48,3309.25
372,26/03/2018,74,5125.53
373,30/03/2018,14,2911.65
374,07/03/2018,53,6603.59
375,11/03/2018,93,557.5
376,26/03/2018,19,3296.7
377,27/03/2018,4,3307.82
378,27/03/2018,19,2054.97
379,30/03/2018,41,7563.53
380,22/03/2018,77,9323.87
381,30/03/2018,47,5040.8
382,25/03/2018,98,2723.33
383,24/03/2018,17,6982.27
384,29/03/2018,98,802.91
385,03/03/2018,65,3936.33
386,14/03/2018,30,6682.19
387,01/03/2018,90,2670.38
388,27/03/2018,45,3385.39
389,27/03/2018,82,5801.7
390,03/03/2018,1,9512.71
391,24/03/2018,31,7312.14
392,13/03/2018,88,3280.73
393,18/03/2018,94,2129.31
394,28/03/2018,81,5125.0
395,08/03/2018,50,6573.27
396,25/03/2018,6,2668.82
397,03/03/2018,34,5327.39
398,18/03/2018,64,3869.74
399,25/03/2018,1,994.41
400,24/03/2018,48,705.5
401,15/03/2018,26,7155.71
402,29/03/2018,5,5664.12
403,01/03/2018,38,9532.41
404,27/03/2018,70,2897.09
405,16/03/2018,2,5511.08
406,09/03/2018,20,6038.37
407,04/03/2018,19,1169.11
408,12/03/2018,20,4436.83
409,23/03/2018,97,2823.39
410,11/03/2018,90,9785.65
411,19/03/2018,10,5049.86
412,26/03/2018,30,4819.05
413,15/03/2018,67,7501.0
414,08/03/2018,95,3748.7
415,17/03/2018,63,9264.14
416,06/03/2018,14,3315.72
417,02/03/2018,26,1906.38
418,16/03/2018,39,5949.14
419,22/03/2018,33,3011.84
420,02/03/2018,90,8146.42
421,13/03/2018,67,7875.45
422,07/03/2018,67,6738.67
423,29/03/2018,60,8290.08
424,08/03/2018,88,3146.26
425,20/03/2018,96,2495.89
426,04/03/2018,66,5611.69
427,18/03/2018,37,9052.69
428,12/03/2018,29,5918.48
429,30/03/2018,55,9704.54
430,09/03/2018,83,4431.65
431,10/03/2018,86,1737.56
432,10/03/2018,18,1080.91
433,06/03/2018,2,9331.07
434,19/03/2018,71,3670.41
435,30/03/2018,6,
436,30/03/2018,4,7477.11
437,25/03/2018,6,7502.24
438,15/03/2018,36,2032.83
439,08/03/2018,94,3645.87
440,14/03/2018,25,1189.8
441,11/03/2018,100,7038.05
442,09/03/2018,58,7604.9
443,26/03/2018,68,5230.32
444,03/03/2018,74,1262.76
445,03/03/2018,17,7393.62
446,05/03/2018,43,6174.58
447,21/03/2018,34,6009.84
448,19/03/2018,42,5467.86
449,22/03/2018,38,3492.6
450,24/03/2018,67,1796.16
451,25/03/2018,68,8201.67
452,03/03/2018,90,7652.82
453,19/03/2018,43,1326.88
454,04/03/2018,71,5012.51
455,23/03/2018,23,7182.85
456,29/03/2018,36,128.48
457,25/03/2018,49,5233.58
458,30/03/2018,50,3153.68
459,21/03/2018,15,
460,12/03/2018,45,2460.66
461,06/03/2018,11,7881.97
462,14/03/2018,86,1606.48
463,14/03/2018,96,6132.64
464,15/03/2018,11,6214.45
465,07/03/2018,6,4285.59
466,03/03/2018,20,1691.0
467,27/03/2018,31,338.89
468,15/03/2018,36,7597.0
469,10/03/2018,10,3479.61
470,05/03/2018,5,8296.62
471,20/03/2018,52,7343.56
472,04/03/2018,70,5388.13
473,03/03/2018,16,2731.33
474,04/03/2018,46,7391.7
475,08/03/2018,3,929.12
476,24/03/2018,82,2504.07
477,26/03/2018,72,3284.6
478,18/03/2018,4,2793.0
479,02/03/2018,1,7367.66
480,27/03/2018,27,4909.73
481,06/03/2018,36,1460.74
482,12/03/2018,99,7326.03
483,15/03/2018,37,9676.9
484,05/03/2018,49,2057.14
485,24/03/2018,2,9587.47
486,30/03/2018,67,3296.12
487,25/03/2018,98,3545.15
488,26/03/2018,96,8730.94
489,03/03/2018,59,4408.44
490,07/03/2018,27,3331.02
491,01/03/2018,95,3089.69
492,20/03/2018,22,3561.07
493,24/03/2018,56,5110.73
494,04/03/2018,82,8736.42
495,05/03/2018,21,1204.65
496,09/03/2018,70,3664.17
497,12/03/2018,45,7026.27
498,08/03/2018,90,7295.95
499,25/03/2018,15,3190.97
500,24/03/2018,91,410.78
501,18/03/2018,15,2746.52
502,16/03/2018,80,4286.56
503,30/03/2018,58,1940.49
504,10/03/2018,61,2613.76
505,23/03/2018,1,6203.37
506,30/03/2018,15,5769.31
507,02/03/2018,81,7115.56
508,29/03/2018,84,5373.63
509,25/03/2018,19,1535.9
510,15/03/2018,41,121.61
511,28/03/2018,65,4782.41
512,22/03/2018,18,8068.34
513,15/03/2018,38,5087.66
514,01/03/2018,62,8782.0
515,01/03/2018,18,507.01
516,21/03/2018,31,7645.06
517,30/03/2018,25,6395.42
518,29/03/2018,12,7664.43
519,26/03/2018,72,1869.89
520,15/03/2018,27,6292.77
521,19/03/2018,48,8141.49
522,26/03/2018,98,911.63
523,16/03/2018,26,2389.35
524,21/03/2018,26,6276.87
525,22/03/2018,31,3337.96
526,29/03/2018,8,3647.17
527,05/03/2018,97,7747.73
528,14/03/2018,26,6812.02
529,14/03/2018,48,4597.05
530,29/03/2018,55,8989.48
531,05/03/2018,63,5984.8
532,08/03/2018,33,885.57
533,04/03/2018,40,4822.24
534,09/03/2018,24,6839.29
535,26/03/2018,2,9459.89
536,22/03/2018,23,3439.79
537,28/03/2018,8,
538,03/03/2018,35,9281.48
539,30/03/2018,81,3769.41
540,17/03/2018,7,1241.26
541,25/03/2018,80,6392.89
542,05/03/2018,89,6873.69
543,05/03/2018,53,6748.75
544,12/03/2018,74,2979.09
545,01/03/2018,68,9091.66
546,16/03/2018,10,8930.32
547,26/03/2018,91,1578.62
548,19/03/2018,46,3643.59
549,16/03/2018,88,9877.39
550,01/03/2018,61,1163.82
551,30/03/2018,54,9474.61
552,17/03/2018,22,4837.28
553,05/03/2018,22,6313.56
554,10/03/2018,20,8310.49
555,02/03/2018,15,4416.88
556,25/03/2018,83,3426.77
557,23/03/2018,65,881.38
558,07/03/2018,14,3900.21
559,13/03/2018,47,1939.63
560,11/03/2018,29,7864.06
561,17/03/2018,68,1493.65
562,20/03/2018,10,2916.68
563,25/03/2018,6,8968.56
564,19/03/2018,33,6272.47
565,01/03/2018,86,8168.16
566,22/03/2018,30,6993.57
567,29/03/2018,18,1458.36
568,25/03/2018,50,5858.5
569,11/03/2018,97,9168.14
570,06/03/2018,8,4562.15
571,29/03/2018,27,8072.57
572,25/03/2018,55,820.46
573,02/03/2018,27,4903.72
574,28/03/2018,3,8537.23
575,24/03/2018,8,472.95
576,04/03/2018,58,8241.84
577,29/03/2018,20,8761.85
578,08/03/2018,42,4878.64
579,08/03/2018,67,308.5
580,19/03/2018,80,3574.82
581,16/03/2018,20,8009.36
582,05/03/2018,45,7744.3
583,06/03/2018,60,3181.75
584,29/03/2018,17,1387.56
585,09/03/2018,95,124.97
586,19/03/2018,60,9687.53
587,17/03/2018,20,229.05
588,12/03/2018,21,3376.57
589,19/03/2018,76,7173.79
590,11/03/2018,77,8244.65
591,28/03/2018,18,5723.85
592,03/03/2018,59,5480.78
593,10/03/2018,95,8873.68
594,10/03/2018,45,7750.16
595,27/03/2018,39,8915.57
596,09/03/2018,49,8156.77
597,17/03/2018,94,1711.82
598,24/03/2018,86,8877.44
599,03/03/2018,77,6189.08
600,28/03/2018,81,1739.47
601,11/03/2018,53,2462.76
602,11/03/2018,53,3719.45
603,03/03/2018,64,2888.76
604,19/03/2018,28,6897.95
605,19/03/2018,80,2927.09
606,08/03/2018,94,6971.29
607,03/03/2018,72,7580.77
608,06/03/2018,69,2852.11
609,13/03/2018,89,5821.37
610,04/03/2018,36,582.15
611,12/03/2018,96,9832.94
612,11/03/2018,32,6273.45
613,12/03/2018,20,8203.59
614,21/03/2018,38,4024.72
615,07/03/2018,30,4736.46
616,17/03/2018,66,7831.11
617,09/03/2018,96,4041.62
618,02/03/2018,19,5737.83
619,09/03/2018,50,703.37
620,21/03/2018,52,6372.0
621,22/03/2018,34,8037.03
622,14/03/2018,61,3045.06
623,21/03/2018,48,5004.66
624,12/03/2018,38,9032.21
625,27/03/2018,66,2362.06
626,23/03/2018,65,5961.16
627,29/03/2018,87,355.83
628,22/03/2018,46,8532.5
629,14/03/2018,69,8203.45
630,25/03/2018,73,2586.69
631,27/03/2018,37,5640.95
632,13/03/2018,75,9049.3
633,02/03/2018,35,5686.07
634,14/03/2018,64,3569.92
635,07/03/2018,61,1828.02
636,18/03/2018,50,3133.09
637,21/03/2018,87,9918.58
638,14/03/2018,10,9588.57
639,27/03/2018,92,6022.86
640,16/03/2018,20,9000.92
641,13/03/2018,60,2543.78
642,09/03/2018,58,4273.1
643,02/03/2018,17,710.01
644,08/03/2018,64,3366.65
645,05/03/2018,85,3867.25
646,28/03/2018,77,7818.06
647,13/03/2018,93,2828.45
648,10/03/2018,35,6698.29
649,04/03/2018,1,9876.88
650,12/03/2018,56,4778.59
651,24/03/2018,69,7552.56
652,25/03/2018,96,1207.18
653,29/03/2018,96,4309.44
654,15/03/2018,54,771.12
655,11/03/2018,4,6821.86
656,15/03/2018,20,3534.28
657,20/03/2018,66,9679.07
658,08/03/2018,86,7039.67
659,11/03/2018,91,
660,03/03/2018,91,5487.15
661,25/03/2018,69,3381.4
662,02/03/2018,86,6664.17
663,14/03/2018,38,3415.25
664,10/03/2018,59,9906.45
665,30/03/2018,30,9631.39
666,14/03/2018,69,4977.08
667,12/03/2018,72,8947.9
668,28/03/2018,39,6933.45
669,16/03/2018,96,5844.25
670,05/03/2018,50,178.68
671,28/03/2018,56,1387.52
672,03/03/2018,49,9087.95
673,03/03/2018,85,
674,05/03/2018,3,6553.09
675,11/03/2018,60,9109.7
676,07/03/2018,100,8008.6
677,23/03/2018,66,9106.26
678,09/03/2018,10,
679,15/03/2018,32,
680,26/03/2018,55,141.56
681,19/03/2018,6,7612.38
682,29/03/2018,46,9936.4
683,15/03/2018,19,8314.1
684,10/03/2018,54,7844.82
685,05/03/2018,11,4901.41
686,28/03/2018,47,8947.03
687,20/03/2018,94,8443.87
688,29/03/2018,19,5237.57
689,28/03/2018,13,6652.46
690,26/03/2018,57,8914.49
691,02/03/2018,33,3538.38
692,18/03/2018,70,9142.31
693,12/03/2018,22,3326.14
694,02/03/2018,59,4556.86
695,26/03/2018,21,3469.89
696,01/03/2018,13,7170.84
697,09/03/2018,70,8166.42
698,17/03/2018,72,6137.79
699,26/03/2018,32,1638.77
700,17/03/2018,83,798.99
701,27/03/2018,72,
702,21/03/2018,55,8344.88
703,25/03/2018,79,8906.46
704,13/03/2018,71,147.9
705,08/03/2018,51,9912.46
706,28/03/2018,43,699.0
707,10/03/2018,51,830.33
708,19/03/2018,96,873.96
709,19/03/2018,58,6072.6
710,03/03/2018,75,4450.47
711,06/03/2018,85,4731.4
712,20/03/2018,30,1759.79
713,28/03/2018,87,548.78
714,03/03/2018,26,164.14
715,27/03/2018,74,5170.53
716,14/03/2018,35,6392.58
717,22/03/2018,24,8746.05
718,22/03/2018,26,2701.85
719,01/03/2018,55,3430.8
720,28/03/2018,24,1231.53
721,21/03/2018,75,6454.2
722,14/03/2018,21,2981.41
723,06/03/2018,85,176.28
724,03/03/2018,40,3525.14
725,04/03/2018,91,8968.62
726,19/03/2018,70,2072.3
727,06/03/2018,4,7104.2
728,28/03/2018,24,1091.76
729,19/03/2018,92,8988.75
730,16/03/2018,46,6807.17
731,17/03/2018,13,418.37
732,27/03/2018,15,
733,03/03/2018,100,1551.64
734,12/03/2018,88,1622.04
735,06/03/2018,81,9099.26
736,24/03/2018,72,8662.69
737,28/03/2018,16,4701.41
738,24/03/2018,25,7534.34
739,13/03/2018,29,9082.33
740,12/03/2018,27,360.98
741,27/03/2018,96,404.62
742,22/03/2018,10,1773.38
743,12/03/2018,14,1054.48
744,02/03/2018,27,6530.6
745,21/03/2018,22,
746,09/03/2018,25,9752.19
747,19/03/2018,51,1891.8
748,28/03/2018,45,7839.34
749,13/03/2018,42,8773.41
750,01/03/2018,41,720.38
751,11/03/2018,41,4278.9
752,19/03/2018,97,9754.03
753,13/03/2018,15,8416.97
754,27/03/2018,14,7400.2
755,17/03/2018,59,1384.58
756,08/03/2018,38,8194.68
757,29/03/2018,89,946.69
758,02/03/2018,52,5348.41
759,29/03/2018,60,4325.55
760,18/03/2018,65,4788.47
761,25/03/2018,36,8454.5
762,11/03/2018,21,1616.56
763,29/03/2018,1,6848.34
764,29/03/2018,84,6648.04
765,20/03/2018,65,5291.11
766,02/03/2018,80,6217.38
767,28/03/2018,59,5208.94
768,30/03/2018,5,8870.34
769,09/03/2018,60,7244.22
770,19/03/2018,56,2597.01
771,13/03/2018,34,3605.23
772,27/03/2018,38,8189.72
773,12/03/2018,32,8930.71
774,10/03/2018,7,8647.57
775,23/03/2018,49,5262.63
776,28/03/2018,50,3791.78
777,16/03/2018,52,7253.11
778,04/03/2018,96,6167.46
779,24/03/2018,85,8158.18
780,17/03/2018,88,8780.01
781,14/03/2018,46,9853.04
782,10/03/2018,97,5035.99
783,15/03/2018,82,5432.68
784,19/03/2018,22,4073.59
785,16/03/2018,62,487.66
786,13/03/2018,32,711.78
787,17/03/2018,27,1199.67
788,24/03/2018,29,4804.15
789,14/03/2018,77,9356.5
790,18/03/2018,2,7901.44
791,19/03/2018,78,5747.14
792,26/03/2018,36,7069.33
793,04/03/2018,70,9280.97
794,17/03/2018,40,7765.81
795,22/03/2018,28,6468.14
796,30/03/2018,72,7688.82
797,26/03/2018,52,3859.81
798,19/03/2018,9,7653.82
799,19/03/2018,3,7105.25
800,01/03/2018,69,8878.89
801,28/03/2018,75,9700.92
802,23/03/2018,73,4723.84
803,15/03/2018,85,3593.95
804,21/03/2018,36,912.85
805,28/03/2018,43,886.71
806,14/03/2018,85,1462.55
807,13/03/2018,19,6784.63
808,24/03/2018,98,2667.46
809,28/03/2018,12,128.76
810,28/03/2018,62,6389.42
811,08/03/2018,88,6178.62
812,19/03/2018,35,911.34
813,18/03/2018,86,3684.95
814,28/03/2018,87,2445.07
815,05/03/2018,13,3605.71
816,30/03/2018,18,8772.14
817,21/03/2018,82,3739.7
818,02/03/2018,42,8536.13
819,12/03/2018,95,1349.39
820,17/03/2018,49,9187.18
821,28/03/2018,24,3169.57
822,01/03/2018,86,2377.26
823,24/03/2018,73,5642.9
824,16/03/2018,86,5455.43
825,03/03/2018,7,4726.94
826,07/03/2018,70,9254.95
827,21/03/2018,60,1786.83
828,29/03/2018,98,1352.98
829,06/03/2018,12,168.02
830,29/03/2018,17,2049.66
831,29/03/2018,63,4791.48
832,02/03/2018,81,3675.97
833,30/03/2018,99,9218.69
834,02/03/2018,62,8408.62
835,19/03/2018,45,5274.21
836,29/03/2018,32,9328.88
837,12/03/2018,6,4656.79
838,24/03/2018,84,6292.46
839,11/03/2018,69,1465.0
840,15/03/2018,73,3784.78
841,16/03/2018,22,9576.58
842,14/03/2018,7,7319.6
843,21/03/2018,32,8531.6
844,06/03/2018,74,9874.08
845,28/03/2018,30,7077.85
846,18/03/2018,53,1661.22
847,25/03/2018,17,6881.2
848,06/03/2018,1,9731.79
849,11/03/2018,85,4459.67
850,13/03/2018,35,2623.42
851,26/03/2018,40,2203.8
852,21/03/2018,62,9080.84
853,11/03/2018,82,9533.72
854,25/03/2018,19,8440.6
855,28/03/2018,96,2345.44
856,10/03/2018,80,5307.66
857,23/03/2018,79,8534.42
858,10/03/2018,23,7453.96
859,16/03/2018,67,6300.78
860,25/03/2018,39,6371.5
861,06/03/2018,88,4579.14
862,16/03/2018,26,5620.01
863,18/03/2018,89,2898.86
864,29/03/2018,1,2929.68
865,06/03/2018,79,9758.76
866,02/03/2018,87,3128.87
867,08/03/2018,25,3298.93
868,25/03/2018,63,9122.41
869,30/03/2018,33,
870,17/03/2018,28,1455.88
871,09/03/2018,72,4150.07
872,26/03/2018,16,4332.63
873,28/03/2018,81,5869.28
874,04/03/2018,3,4754.59
875,21/03/2018,44,9057.66
876,10/03/2018,35,4458.88
877,10/03/2018,40,4079.36
878,18/03/2018,49,6191.5
879,20/03/2018,51,2322.24
880,21/03/2018,4,6611.67
881,13/03/2018,73,
882,20/03/2018,32,932.33
