vendacodigo,vendadata,clientecodigo,vendavalor
98,30/05/2018,11,7967.48
99,26/05/2018,84,6018.49
100,07/05/2018,48,8371.33
101,05/05/2018,88,4245.77
102,19/05/2018,85,3143.44
103,23/05/2018,91,6877.42
104,11/05/2018,65,2633.37
105,28/05/2018,61,7646.25
106,05/05/2018,85,3037.46
107,02/05/2018,20,6324.28
108,14/05/2018,46,9770.96
109,02/05/2018,52,2156.03
110,19/05/2018,5,5513.96
111,19/05/2018,84,9483.04
112,29/05/2018,25,5762.27
113,17/05/2018,91,6816.22
114,09/05/2018,12,4488.64
115,02/05/2018,42,8499.79
116,03/05/2018,73,4553.62
117,02/05/2018,39,1385.96
118,01/05/2018,29,753.3
119,15/05/2018,68,3245.54
120,01/05/2018,45,7424.39
121,05/05/2018,32,565.41
122,26/05/2018,63,2277.31
123,14/05/2018,14,867.27
124,23/05/2018,38,1938.07
125,11/05/2018,93,1958.58
126,09/05/2018,1,1447.28
127,02/05/2018,40,
128,21/05/2018,88,9972.81
129,10/05/2018,33,9797.0
130,25/05/2018,25,1634.6
131,22/05/2018,91,7649.75
132,05/05/2018,16,4975.5
133,17/05/2018,66,1349.02
134,12/05/2018,81,8134.69
135,13/05/2018,47,5390.83
136,17/05/2018,93,7769.71
137,06/05/2018,95,9828.03
138,28/05/2018,51,9988.25
139,09/05/2018,38,595.21
140,10/05/2018,4,4808.0
141,08/05/2018,36,7402.04
142,25/05/2018,26,4183.48
143,30/05/2018,18,5165.38
144,15/05/2018,39,4593.89
145,29/05/2018,41,9839.4
146,01/05/2018,86,535.09
147,17/05/2018,7,9303.06
148,29/05/2018,95,3020.72
149,04/05/2018,76,876.14
150,17/05/2018,18,345.94
151,26/05/2018,90,8920.18
152,06/05/2018,20,3755.38
153,05/05/2018,70,2768.96
154,22/05/2018,56,5880.61
155,13/05/2018,5,5922.42
156,20/05/2018,12,8662.64
157,11/05/2018,27,8855.2
158,05/05/2018,64,5073.58
159,12/05/2018,16,7623.85
160,10/05/2018,23,335.82
161,07/05/2018,75,9103.94
162,23/05/2018,53,435.31
163,19/05/2018,33,5927.23
164,15/05/2018,66,7691.24
165,27/05/2018,75,6606.22
166,23/05/2018,64,960.01
167,24/05/2018,50,4508.36
168,27/05/2018,91,495.22
169,03/05/2018,11,7421.22
170,27/05/2018,50,3872.13
171,23/05/2018,65,5197.51
172,05/05/2018,60,8736.44
173,05/05/2018,36,7370.51
174,30/05/2018,54,8111.29
175,20/05/2018,40,3125.36
176,23/05/2018,33,7563.37
177,26/05/2018,69,9829.39
178,23/05/2018,20,3767.86
179,14/05/2018,31,8898.58
180,10/05/2018,89,1881.2
181,20/05/2018,56,5139.44
182,08/05/2018,92,8329.25
183,04/05/2018,45,8183.33
184,21/05/2018,36,7267.06
185,11/05/2018,59,7594.16
186,03/05/2018,38,3472.04
187,04/05/2018,13,1589.53
188,10/05/2018,28,6231.38
189,22/05/2018,49,7849.81
190,05/05/2018,59,1457.53
191,10/05/2018,35,3214.67
192,22/05/2018,79,8882.66
193,04/05/2018,31,2203.1
194,12/05/2018,9,8632.8
195,29/05/2018,15,8728.72
196,16/05/2018,52,7511.16
197,29/05/2018,62,7684.32
198,26/05/2018,45,7406.4
199,27/05/2018,85,8203.49
200,02/05/2018,95,9002.51
201,29/05/2018,29,7248.99
202,02/05/2018,62,7458.8
203,07/05/2018,31,2498.94
204,07/05/2018,78,5454.27
205,09/05/2018,68,7222.27
206,24/05/2018,84,6358.04
207,03/05/2018,87,9929.41
208,13/05/2018,76,6050.06
209,17/05/2018,71,514.32
210,12/05/2018,10,1953.09
211,27/05/2018,36,4757.76
212,03/05/2018,41,6503.39
213,08/05/2018,33,3743.38
214,12/05/2018,41,6809.21
215,05/05/2018,52,7082.09
216,27/05/2018,58,7216.63
217,05/05/2018,65,6337.55
218,02/05/2018,70,4311.7
219,03/05/2018,43,6918.94
220,26/05/2018,61,1239.48
221,03/05/2018,1,5763.77
222,24/05/2018,70,833.77
223,23/05/2018,2,6920.82
224,03/05/2018,4,3152.73
225,27/05/2018,58,6844.36
226,12/05/2018,74,8828.88
227,11/05/2018,94,8603.43
228,19/05/2018,42,1212.16
229,25/05/2018,97,2280.3
230,17/05/2018,71,2822.36
231,10/05/2018,99,3900.81
232,19/05/2018,87,3591.97
233,04/05/2018,37,6128.35
234,08/05/2018,60,6276.67
235,01/05/2018,7,3802.49
236,29/05/2018,6,6993.0
237,22/05/2018,9,4850.82
238,25/05/2018,41,1909.17
239,11/05/2018,99,6436.47
240,07/05/2018,14,5408.5
241,21/05/2018,21,2775.48
242,06/05/2018,30,6061.16
243,09/05/2018,92,9473.03
244,14/05/2018,72,3918.91
245,19/05/2018,15,3577.81
246,04/05/2018,92,3860.79
247,25/05/2018,65,8460.59
248,28/05/2018,36,9176.07
249,21/05/2018,42,558.89
250,28/05/2018,68,316.65
251,10/05/2018,78,1657.04
252,29/05/2018,30,6298.56
253,22/05/2018,79,6230.07
254,07/05/2018,76,101.89
255,22/05/2018,86,7027.56
256,04/05/2018,57,5186.07
257,21/05/2018,25,5924.29
258,23/05/2018,11,7408.97
259,02/05/2018,50,5846.66
260,23/05/2018,63,293.98
261,11/05/2018,67,7434.71
262,24/05/2018,100,4886.2
263,14/05/2018,5,6724.52
264,14/05/2018,93,1560.45
265,29/05/2018,80,9605.15
266,10/05/2018,45,2558.95
267,20/05/2018,65,6011.08
268,04/05/2018,25,9854.26
269,01/05/2018,13,4538.18
270,08/05/2018,53,1536.07
271,03/05/2018,22,9755.14
272,14/05/2018,72,7117.09
273,01/05/2018,27,1054.28
274,21/05/2018,64,1266.42
275,08/05/2018,39,372.67
276,01/05/2018,2,6249.47
277,20/05/2018,43,7582.54
278,07/05/2018,36,4723.32
279,17/05/2018,95,6272.47
280,07/05/2018,76,9759.46
281,05/05/2018,45,4722.19
282,09/05/2018,24,3846.51
283,22/05/2018,50,1701.27
284,25/05/2018,56,1610.78
285,17/05/2018,32,3879.21
286,10/05/2018,72,6206.79
287,06/05/2018,9,1189.38
288,12/05/2018,73,4347.2
289,14/05/2018,9,
290,29/05/2018,74,6189.7
291,01/05/2018,8,4861.99
292,07/05/2018,14,3104.31
293,13/05/2018,12,6444.3
294,03/05/2018,55,1343.87
295,27/05/2018,70,352.09
296,29/05/2018,48,4782.84
297,21/05/2018,48,5435.86
298,02/05/2018,94,458.26
299,23/05/2018,30,2740.03
300,21/05/2018,50,891.27
301,13/05/2018,8,7803.84
302,07/05/2018,85,4202.54
303,17/05/2018,83,8944.62
304,14/05/2018,5,1311.69
305,30/05/2018,23,5596.97
306,26/05/2018,27,9946.31
307,28/05/2018,72,2840.32
308,06/05/2018,90,8467.55
309,02/05/2018,58,2533.43
310,23/05/2018,77,1826.83
311,19/05/2018,67,484.23
312,09/05/2018,18,7332.75
313,03/05/2018,71,3445.88
314,21/05/2018,63,
315,11/05/2018,83,9076.19
316,24/05/2018,69,7261.47
317,22/05/2018,42,499.05
318,24/05/2018,78,4913.77
319,08/05/2018,41,8237.51
320,20/05/2018,79,5978.65
321,01/05/2018,98,2429.51
322,28/05/2018,7,6107.74
323,04/05/2018,85,7678.84
324,28/05/2018,41,4161.73
325,08/05/2018,25,4954.1
326,21/05/2018,42,
327,13/05/2018,67,5211.84
328,13/05/2018,55,8100.64
329,22/05/2018,64,2941.01
330,04/05/2018,56,8647.97
331,29/05/2018,69,5815.94
332,05/05/2018,36,3643.84
333,05/05/2018,27,2611.96
334,09/05/2018,9,6160.74
335,02/05/2018,85,3725.45
336,26/05/2018,83,2373.55
337,03/05/2018,76,9488.31
338,03/05/2018,95,2567.2
339,23/05/2018,18,6544.93
340,04/05/2018,59,4678.46
341,23/05/2018,53,653.46
342,05/05/2018,27,6510.95
343,26/05/2018,15,3407.09
344,15/05/2018,86,2076.82
345,03/05/2018,8,8995.24
346,18/05/2018,37,8764.06
347,24/05/2018,96,4341.82
348,27/05/2018,35,7711.5
349,01/05/2018,73,6258.35
350,04/05/2018,38,1541.04
351,14/05/2018,99,1988.03
352,18/05/2018,22,7368.42
353,17/05/2018,27,4964.08
354,16/05/2018,68,1354.54
355,11/05/2018,65,7418.0
356,02/05/2018,38,8056.45
357,06/05/2018,41,254.64
358,25/05/2018,38,1536.03
359,16/05/2018,68,4546.09
360,16/05/2018,38,7903.66
361,03/05/2018,31,9756.11
362,19/05/2018,69,3899.21
363,05/05/2018,60,2521.36
364,10/05/2018,79,2953.13
365,02/05/2018,90,1209.96
366,08/05/2018,24,3281.21
367,14/05/2018,69,5770.77
368,05/05/2018,25,3288.89
369,26/05/2018,54,9762.62
370,29/05/2018,46,4562.11
371,24/05/2018,30,3232.28
372,19/05/2018,71,5022.68
373,21/05/2018,34,9902.64
374,03/05/2018,43,5329.5
375,18/05/2018,50,6484.3
376,25/05/2018,100,7873.41
377,21/05/2018,91,8233.54
378,09/05/2018,54,4407.18
379,17/05/2018,20,3318.44
380,01/05/2018,82,9797.08
381,28/05/2018,80,424.57
382,07/05/2018,42,8632.92
383,01/05/2018,77,6946.1
384,02/05/2018,94,7057.58
385,08/05/2018,34,903.1
386,01/05/2018,35,1436.52
387,12/05/2018,47,6353.96
388,18/05/2018,87,9687.06
389,22/05/2018,55,909.54
390,15/05/2018,32,4076.62
391,06/05/2018,78,9891.77
392,04/05/2018,48,3241.96
393,25/05/2018,30,3057.5
394,17/05/2018,38,9236.9
395,13/05/2018,84,4456.13
396,28/05/2018,40,9663.82
397,07/05/2018,5,8329.21
398,09/05/2018,65,3805.88
399,05/05/2018,47,5717.0
400,25/05/2018,18,2912.83
401,09/05/2018,46,3995.35
402,26/05/2018,38,7723.16
403,28/05/2018,14,2866.92
404,16/05/2018,31,5567.29
405,18/05/2018,44,2493.21
406,10/05/2018,98,4652.04
407,09/05/2018,93,
408,07/05/2018,71,1890.18
409,07/05/2018,40,8103.73
410,21/05/2018,14,9563.72
411,14/05/2018,6,8964.81
412,20/05/2018,14,6808.21
413,11/05/2018,100,1315.4
414,20/05/2018,73,6420.04
415,03/05/2018,86,2770.32
416,07/05/2018,34,9895.13
417,07/05/2018,10,2250.47
418,14/05/2018,88,9622.76
419,05/05/2018,17,3063.19
420,13/05/2018,72,6093.41
421,17/05/2018,15,4343.57
422,06/05/2018,33,6130.37
423,04/05/2018,85,5373.69
424,13/05/2018,29,1679.78
425,16/05/2018,12,1989.87
426,24/05/2018,24,5579.27
427,21/05/2018,28,5161.75
428,04/05/2018,95,5536.63
429,03/05/2018,6,814.0
430,02/05/2018,26,1344.4
431,17/05/2018,31,3741.0
432,23/05/2018,53,9028.87
433,22/05/2018,45,9807.92
434,06/05/2018,62,3482.75
435,08/05/2018,90,7179.45
436,10/05/2018,6,2915.66
437,24/05/2018,73,4445.66
438,02/05/2018,97,9988.82
439,20/05/2018,43,9657.15
440,02/05/2018,61,4402.9
441,17/05/2018,67,5803.56
442,06/05/2018,85,9216.05
443,25/05/2018,90,1768.63
444,24/05/2018,59,7496.77
445,17/05/2018,9,2994.52
446,02/05/2018,97,722.26
447,02/05/2018,21,1143.99
448,05/05/2018,71,7460.67
449,10/05/2018,34,8248.39
450,13/05/2018,71,7468.67
451,01/05/2018,68,1062.51
452,23/05/2018,77,1537.22
453,14/05/2018,27,2466.62
454,14/05/2018,54,576.37
455,09/05/2018,18,9163.85
456,05/05/2018,5,7052.59
457,03/05/2018,92,4203.83
458,14/05/2018,83,419.56
459,12/05/2018,89,7387.37
460,13/05/2018,79,3233.46
461,24/05/2018,37,1573.62
462,02/05/2018,15,2209.86
463,24/05/2018,80,6320.25
464,26/05/2018,70,214.77
465,29/05/2018,86,9866.75
466,22/05/2018,82,3954.83
467,01/05/2018,26,2880.45
468,26/05/2018,77,5305.58
469,19/05/2018,32,4319.68
470,14/05/2018,83,5391.43
471,18/05/2018,64,3981.08
472,06/05/2018,63,5342.63
473,18/05/2018,23,4350.31
474,26/05/2018,8,9669.34
475,27/05/2018,34,8459.79
476,15/05/2018,83,7438.02
477,30/05/2018,96,3511.32
478,04/05/2018,21,6002.5
479,28/05/2018,76,1536.02
480,18/05/2018,25,5283.21
481,30/05/2018,55,1189.79
482,11/05/2018,43,1079.21
483,18/05/2018,84,9117.09
484,23/05/2018,64,3268.6
485,02/05/2018,97,6817.97
486,06/05/2018,97,5877.47
487,08/05/2018,37,145.45
488,15/05/2018,20,6242.13
489,16/05/2018,59,1017.93
490,15/05/2018,49,8190.56
491,01/05/2018,84,2390.32
492,20/05/2018,16,9258.5
493,28/05/2018,68,1094.23
494,12/05/2018,57,7697.2
495,20/05/2018,51,8646.3
496,14/05/2018,58,8527.27
497,26/05/2018,32,4731.1
498,16/05/2018,63,9722.02
499,10/05/2018,10,1125.36
500,02/05/2018,52,8712.64
501,15/05/2018,87,2530.52
502,10/05/2018,96,5549.95
503,03/05/2018,66,4127.0
504,15/05/2018,19,8016.8
505,24/05/2018,24,2815.94
506,04/05/2018,24,5468.85
507,07/05/2018,95,4004.72
508,10/05/2018,9,208.18
509,07/05/2018,51,854.01
510,17/05/2018,6,5799.35
511,06/05/2018,21,4180.34
512,01/05/2018,84,3784.41
513,13/05/2018,83,384.31
514,07/05/2018,51,6942.63
515,16/05/2018,91,9309.61
516,10/05/2018,76,4112.76
517,20/05/2018,60,8605.23
518,06/05/2018,22,4646.44
519,24/05/2018,1,8948.25
520,20/05/2018,34,
521,01/05/2018,50,112.99
522,17/05/2018,74,9083.12
523,30/05/2018,81,2244.34
524,14/05/2018,62,7565.39
525,12/05/2018,36,2754.9
526,26/05/2018,23,9770.23
527,18/05/2018,34,1407.36
528,09/05/2018,67,2721.7
529,17/05/2018,41,2747.79
530,08/05/2018,50,2399.83
531,21/05/2018,59,7114.28
532,19/05/2018,50,1195.4
533,28/05/2018,22,8852.35
534,26/05/2018,69,9811.77
535,02/05/2018,5,4062.96
536,08/05/2018,41,9726.03
537,12/05/2018,80,7902.61
538,14/05/2018,96,9982.0
539,18/05/2018,26,4692.63
540,14/05/2018,19,8947.6
541,23/05/2018,29,8421.53
542,23/05/2018,84,3841.84
543,07/05/2018,35,2035.4
544,18/05/2018,94,4952.45
545,24/05/2018,90,
546,02/05/2018,98,4722.96
547,23/05/2018,74,5015.47
548,04/05/2018,13,7769.95
549,19/05/2018,11,8956.52
550,28/05/2018,63,3655.35
551,06/05/2018,21,2354.28
552,19/05/2018,81,7461.78
553,17/05/2018,99,7963.92
554,26/05/2018,58,1890.56
555,13/05/2018,61,7589.4
556,19/05/2018,100,9976.85
557,22/05/2018,19,7269.84
558,10/05/2018,12,4237.38
559,17/05/2018,66,7136.83
560,25/05/2018,46,7549.94
561,12/05/2018,70,8701.09
562,06/05/2018,74,2564.96
563,16/05/2018,70,902.66
564,15/05/2018,46,7613.52
565,02/05/2018,71,3857.59
566,28/05/2018,20,2988.54
567,18/05/2018,18,1950.5
568,20/05/2018,65,8430.43
569,03/05/2018,36,661.59
570,14/05/2018,34,4400.98
571,05/05/2018,52,148.69
572,14/05/2018,3,5910.15
573,08/05/2018,86,6427.79
574,01/05/2018,61,4856.12
575,27/05/2018,70,5086.2
576,08/05/2018,46,9518.07
577,21/05/2018,24,8509.24
578,20/05/2018,56,5921.38
579,08/05/2018,75,5063.11
580,21/05/2018,88,6554.27
581,30/05/2018,26,8140.19
582,07/05/2018,98,2942.45
583,03/05/2018,62,9546.65
584,28/05/2018,71,8616.78
585,02/05/2018,35,7779.89
586,24/05/2018,58,2551.53
587,13/05/2018,23,
588,11/05/2018,83,9304.43
589,03/05/2018,18,8377.96
590,05/05/2018,97,7529.13
591,24/05/2018,76,157.43
592,17/05/2018,26,2029.62
593,06/05/2018,51,6086.23
594,21/05/2018,9,904.57
595,01/05/2018,3,9227.42
596,02/05/2018,83,7220.93
597,12/05/2018,82,856.86
598,09/05/2018,65,1339.74
599,13/05/2018,59,7126.74
600,16/05/2018,84,5892.56
601,16/05/2018,57,9986.58
602,05/05/2018,99,880.83
603,28/05/2018,10,2233.17
604,24/05/2018,47,912.16
605,10/05/2018,52,6944.21
606,25/05/2018,31,6882.09
607,11/05/2018,27,1814.43
608,12/05/2018,75,4644.23
609,29/05/2018,13,5557.23
610,11/05/2018,49,8349.3
611,03/05/2018,27,405.26
612,02/05/2018,45,1367.07
613,08/05/2018,77,4829.33
614,19/05/2018,96,3100.75
615,02/05/2018,78,9670.43
616,07/05/2018,20,8457.06
617,03/05/2018,24,8080.09
618,19/05/2018,57,9377.21
619,02/05/2018,61,6862.31
620,09/05/2018,39,2057.96
621,03/05/2018,50,7336.99
622,18/05/2018,70,1745.54
623,11/05/2018,84,9619.79
624,03/05/2018,63,2017.57
625,03/05/2018,87,7406.94
626,16/05/2018,65,7450.86
627,15/05/2018,94,1738.38
628,24/05/2018,34,
629,11/05/2018,1,414.43
630,18/05/2018,70,9291.63
631,26/05/2018,41,9246.64
632,15/05/2018,90,4816.17
633,22/05/2018,26,7131.33
634,30/05/2018,73,2388.55
635,27/05/2018,77,6606.97
636,22/05/2018,62,9166.88
637,25/05/2018,63,1721.78
638,14/05/2018,96,2465.63
639,25/05/2018,75,4268.73
640,03/05/2018,87,3384.96
641,22/05/2018,18,703.17
642,04/05/2018,70,5557.78
643,17/05/2018,58,243.37
644,26/05/2018,78,4463.9
645,19/05/2018,84,6425.36
646,16/05/2018,10,2433.08
647,06/05/2018,37,5874.79
648,29/05/2018,49,5928.12
649,28/05/2018,85,4961.23
650,09/05/2018,57,9307.74
651,27/05/2018,19,5557.75
652,12/05/2018,93,739.68
653,21/05/2018,70,9684.69
654,18/05/2018,60,8286.01
655,23/05/2018,16,945.97
656,05/05/2018,72,6718.0
657,02/05/2018,38,8412.06
658,15/05/2018,81,1454.72
659,22/05/2018,88,
660,11/05/2018,74,4453.91
661,16/05/2018,51,1018.6
662,06/05/2018,80,687.03
663,24/05/2018,6,8700.41
664,30/05/2018,38,9432.37
665,24/05/2018,69,3042.41
666,03/05/2018,8,1573.64
667,17/05/2018,25,1862.15
668,01/05/2018,31,2309.39
669,13/05/2018,49,5318.05
670,24/05/2018,23,8761.06
671,07/05/2018,37,5390.69
672,21/05/2018,48,7217.91
673,16/05/2018,20,3358.86
674,29/05/2018,39,8569.55
675,07/05/2018,91,5052.18
676,29/05/2018,90,943.63
677,30/05/2018,75,6534.77
678,26/05/2018,90,5111.45
679,06/05/2018,87,4170.46
680,29/05/2018,58,1178.47
681,21/05/2018,33,3319.91
682,07/05/2018,47,1285.12
683,20/05/2018,34,496.23
684,08/05/2018,18,8249.05
685,27/05/2018,29,1771.4
686,06/05/2018,75,6774.57
687,18/05/2018,92,421.23
688,11/05/2018,17,6459.22
689,01/05/2018,30,
690,25/05/2018,93,9774.12
691,19/05/2018,40,3254.3
692,19/05/2018,59,1574.18
693,21/05/2018,50,3192.39
694,06/05/2018,40,5962.42
695,13/05/2018,35,4683.07
696,14/05/2018,95,8627.65
697,23/05/2018,95,7302.05
698,02/05/2018,16,2652.71
699,28/05/2018,26,6662.8
700,01/05/2018,13,6766.16
701,27/05/2018,59,5420.16
702,04/05/2018,61,4965.15
703,17/05/2018,58,9658.59
704,11/05/2018,65,7539.35
705,26/05/2018,30,7101.85
706,07/05/2018,88,2301.6
707,22/05/2018,29,8441.43
708,11/05/2018,40,1624.95
709,01/05/2018,56,6189.13
710,26/05/2018,70,5913.02
711,04/05/2018,36,6551.1
712,24/05/2018,86,6168.28
713,18/05/2018,100,2586.76
714,09/05/2018,86,9021.28
715,04/05/2018,72,1459.37
716,16/05/2018,45,9199.37
717,02/05/2018,69,4144.98
718,01/05/2018,51,1942.67
719,28/05/2018,10,1135.83
720,14/05/2018,25,1103.55
721,01/05/2018,18,6559.49
722,30/05/2018,25,9589.17
723,23/05/2018,61,4462.7
724,24/05/2018,83,706.75
725,15/05/2018,59,2801.37
726,28/05/2018,99,1300.54
727,17/05/2018,60,1159.43
728,28/05/2018,74,2179.52
729,14/05/2018,69,1707.49
730,11/05/2018,46,6969.03
731,05/05/2018,74,3813.72
732,06/05/2018,54,5868.47
733,11/05/2018,62,8566.09
734,24/05/2018,33,9322.36
735,30/05/2018,97,5085.35
736,04/05/2018,51,4266.05
737,16/05/2018,48,4174.16
738,29/05/2018,27,8638.29
739,02/05/2018,58,3737.76
740,29/05/2018,57,3128.83
741,01/05/2018,26,2264.89
742,12/05/2018,65,411.6
743,11/05/2018,61,9456.11
744,14/05/2018,73,2310.47
745,11/05/2018,8,1881.91
746,17/05/2018,28,4509.44
747,16/05/2018,75,8348.16
748,02/05/2018,16,9541.89
749,07/05/2018,4,7689.77
750,05/05/2018,6,155.9
751,13/05/2018,68,2428.64
752,20/05/2018,75,9771.12
753,11/05/2018,5,5782.35
754,17/05/2018,46,3277.55
755,11/05/2018,8,8794.93
756,04/05/2018,95,9977.07
757,05/05/2018,22,6993.81
758,07/05/2018,5,662.18
759,20/05/2018,20,4486.48
760,15/05/2018,69,8478.63
761,06/05/2018,78,4535.05
762,20/05/2018,69,6784.48
763,26/05/2018,21,8870.82
764,23/05/2018,21,6649.4
765,25/05/2018,67,382.32
766,01/05/2018,80,1605.28
767,28/05/2018,44,8339.48
768,11/05/2018,5,7672.85
769,03/05/2018,8,2032.19
770,08/05/2018,100,6567.84
771,09/05/2018,22,1905.63
772,04/05/2018,43,4726.61
773,04/05/2018,85,2944.97
774,27/05/2018,14,4603.79
775,01/05/2018,61,8389.13
776,27/05/2018,20,266.81
777,15/05/2018,87,6616.79
778,21/05/2018,9,2814.87
779,19/05/2018,9,2132.37
780,16/05/2018,7,9631.08
781,26/05/2018,16,5356.06
782,28/05/2018,55,5353.94
783,05/05/2018,43,3515.86
784,03/05/2018,90,8313.11
785,20/05/2018,44,9313.68
786,06/05/2018,70,3309.22
787,13/05/2018,6,213.69
788,06/05/2018,38,1898.33
789,21/05/2018,16,3799.78
790,06/05/2018,6,7076.93
791,29/05/2018,99,9159.21
792,30/05/2018,44,6127.55
793,08/05/2018,26,5037.58
794,05/05/2018,69,6084.08
795,02/05/2018,70,3882.25
796,05/05/2018,6,9916.47
797,20/05/2018,64,9153.03
798,27/05/2018,17,7925.18
799,09/05/2018,36,6572.99
800,22/05/2018,11,9389.5
801,03/05/2018,16,151.83
802,25/05/2018,36,2595.1
803,05/05/2018,77,1136.79
804,26/05/2018,21,8582.75
805,14/05/2018,59,8103.61
806,28/05/2018,24,1236.95
807,11/05/2018,83,6034.27
808,24/05/2018,98,5355.14
809,01/05/2018,13,1059.15
810,25/05/2018,89,6581.37
811,20/05/2018,65,6720.75
812,14/05/2018,48,8464.14
813,01/05/2018,23,3293.23
814,29/05/2018,6,4500.9
815,05/05/2018,1,3955.18
816,29/05/2018,4,4827.99
817,15/05/2018,76,7714.03
818,21/05/2018,82,9245.4
819,02/05/2018,98,226.8
820,24/05/2018,80,513.53
821,02/05/2018,2,181.06
822,04/05/2018,50,698.05
823,02/05/2018,4,6295.21
824,09/05/2018,17,8497.06
825,12/05/2018,87,4865.8
826,28/05/2018,80,542.26
827,23/05/2018,79,2188.63
828,13/05/2018,52,6919.44
829,11/05/2018,61,6982.86
830,08/05/2018,51,1536.88
831,26/05/2018,43,9552.43
832,21/05/2018,23,5184.33
833,27/05/2018,80,3599.79
834,26/05/2018,13,9247.55
835,08/05/2018,16,7673.76
836,02/05/2018,79,5538.36
837,06/05/2018,50,6545.83
838,28/05/2018,98,6290.76
839,08/05/2018,41,1919.54
840,23/05/2018,42,9506.76
841,19/05/2018,19,2943.07
842,30/05/2018,50,1041.48
843,13/05/2018,71,1038.22
844,13/05/2018,34,7535.46
845,12/05/2018,30,2378.85
846,08/05/2018,35,8043.73
847,20/05/2018,42,6930.83
848,26/05/2018,25,9362.69
849,16/05/2018,49,1113.98
850,27/05/2018,80,6980.57
851,27/05/2018,64,7847.07
852,30/05/2018,43,4497.19
853,21/05/2018,84,219.11
854,21/05/2018,27,2527.12
855,26/05/2018,8,428.44
856,14/05/2018,19,2036.79
857,11/05/2018,83,2125.89
858,17/05/2018,43,5834.46
859,13/05/2018,97,6402.03
860,27/05/2018,96,5320.17
861,07/05/2018,75,8986.37
862,06/05/2018,83,3796.0
863,13/05/2018,86,2815.82
864,04/05/2018,98,8262.72
865,07/05/2018,18,9407.33
866,22/05/2018,72,6212.72
867,13/05/2018,13,712.22
868,13/05/2018,57,2843.09
869,14/05/2018,66,6898.83
870,18/05/2018,79,3836.68
871,18/05/2018,36,7367.49
872,23/05/2018,18,7789.19
873,20/05/2018,57,7730.44
874,06/05/2018,31,3107.24
875,13/05/2018,90,2766.73
876,30/05/2018,55,8036.49
877,29/05/2018,91,6748.33
878,13/05/2018,63,6585.14
879,20/05/2018,52,8944.0
